OTU ID,L918B1,L918B2,L918B3,L918F1,L918F2,L918F3,L918H1,L918H2,L918H3,L918S1,L918S2,L918S3,L918T1,L918T2,L918T3,L919B1,L919B2,L919B3,L919F1,L919F2,L919F3,L919H1,L919H2,L919H3,L919S1,L919S2,L919S3,L919T1,L919T2,L919T3,L920B1,L920B2,L920B3,L920F1,L920F2,L920F3,L920H1,L920H2,L920H3,L920S1,L920S2,L920S3,L920T1,L920T2,L920T3
OTU43,24,36,28,147,86,70,28,41,81,0,0,1,26,58,66,30,11,42,94,63,124,74,41,47,31,57,36,130,67,76,3,0,2,95,86,93,0,1,1,37,36,30,130,87,109
OTU44,44,40,79,87,65,56,54,78,105,4,1,0,53,65,54,65,55,119,85,89,98,161,90,85,18,32,43,84,50,43,6,3,5,144,129,126,1,4,1,55,47,53,83,137,164
OTU45,33,54,18,45,76,81,30,30,8,2,2,4,20,42,8,29,23,82,77,83,22,19,30,39,44,54,15,39,66,54,3,1,2,29,47,52,0,3,0,15,31,26,83,68,29
OTU46,44,41,26,50,93,79,35,37,15,2,0,3,21,58,13,10,32,68,86,119,30,25,38,40,33,41,14,31,59,54,4,0,1,17,46,56,0,1,0,7,20,34,83,66,37
OTU47,44,53,61,80,62,46,89,67,98,3,2,1,59,66,55,54,44,105,83,71,86,163,102,68,54,37,52,113,78,96,5,3,1,125,68,55,0,0,0,57,37,29,65,66,61
OTU48,31,35,14,78,71,80,31,42,20,2,2,1,25,36,13,33,29,66,78,77,33,50,58,71,25,26,11,54,45,57,1,1,1,36,34,40,0,0,0,17,15,27,59,52,22
OTU49,34,54,26,35,60,33,77,88,37,0,3,0,27,62,16,22,57,104,77,71,29,33,114,86,29,54,18,55,48,58,3,3,0,25,62,53,1,1,0,17,46,28,54,50,22
OTU50,28,36,30,30,56,45,32,48,25,4,3,1,19,38,24,28,32,57,36,51,41,52,62,76,34,50,31,88,83,50,5,4,4,102,102,113,0,4,0,35,91,37,102,107,81
OTU51,42,44,53,136,77,67,68,51,59,6,2,2,27,38,27,49,24,67,77,61,81,72,53,55,48,44,61,90,49,52,7,5,5,64,60,64,0,0,0,39,24,21,112,64,94
OTU52,37,36,34,119,48,41,37,37,38,7,2,2,30,35,32,33,22,73,48,58,74,56,39,34,25,32,34,75,37,53,13,4,5,91,59,78,1,0,1,47,47,43,91,93,127
OTU53,29,52,61,45,30,79,73,74,143,1,2,2,20,37,38,25,17,33,39,37,52,110,75,98,23,36,30,74,45,48,1,1,5,98,57,45,0,0,0,42,28,37,45,76,82
OTU54,2,4,5,38,2,2,451,600,867,0,0,0,16,26,9,3,7,9,10,19,6,63,42,30,9,13,21,5,2,7,0,1,1,15,3,21,3,1,4,1,7,3,4,17,12
OTU55,127,73,23,28,31,34,78,48,10,3,3,2,76,39,6,23,51,94,66,26,9,41,82,63,104,71,5,24,63,31,10,0,0,42,99,48,1,0,0,47,85,50,76,47,11
OTU56,55,33,29,62,48,43,59,42,52,2,0,1,31,71,23,29,38,100,72,89,74,68,63,63,49,64,25,61,50,67,5,4,2,39,70,65,0,0,0,16,25,28,60,58,39
OTU57,49,40,65,77,60,47,40,56,63,1,0,2,26,39,39,49,21,95,67,52,54,103,73,56,27,57,40,75,52,34,4,2,5,115,94,86,1,2,2,59,65,33,65,101,108
OTU58,61,46,68,73,52,47,49,57,57,1,0,2,28,67,45,67,67,118,45,32,53,100,64,61,42,37,46,80,70,49,3,2,0,90,72,65,0,0,0,50,58,29,40,57,71
OTU59,46,34,68,71,38,65,59,66,121,2,3,2,43,61,41,54,33,74,78,56,79,115,77,57,36,52,40,101,54,59,6,4,2,57,33,49,1,0,0,31,12,21,30,29,36
OTU60,36,32,34,145,78,94,40,41,47,0,2,0,27,54,33,49,15,66,122,87,100,50,50,46,21,34,30,70,32,83,2,0,1,50,43,41,0,0,0,41,33,24,84,54,89
OTU61,44,47,59,138,80,111,43,53,53,3,1,2,16,49,13,33,16,57,62,76,48,66,35,84,32,37,37,67,39,55,0,1,1,42,40,42,0,1,0,30,15,17,25,45,30
OTU62,142,71,12,21,45,29,66,39,11,1,3,5,54,52,0,39,51,92,70,51,4,35,86,49,90,66,7,39,50,38,19,6,0,28,67,21,0,2,0,40,82,44,80,47,13
OTU63,87,46,41,55,32,29,74,29,50,0,3,1,43,36,44,30,13,44,69,51,41,74,67,88,38,43,47,58,29,41,10,5,8,92,79,102,3,1,1,66,71,56,145,83,122
OTU64,50,50,54,79,66,47,20,35,41,4,4,1,22,40,23,49,39,76,33,60,55,48,32,28,40,51,43,55,65,48,2,3,3,90,67,41,0,2,1,40,74,26,61,59,63
OTU65,41,62,49,54,37,41,63,62,90,3,1,3,36,50,35,71,32,76,63,59,43,96,53,60,59,47,38,81,65,49,3,0,2,45,29,33,0,1,0,24,26,39,32,45,40
OTU66,46,59,67,41,37,25,66,77,101,2,3,1,50,61,35,73,45,108,56,69,71,125,84,62,26,41,51,114,38,61,2,1,2,72,55,43,1,0,0,38,35,36,36,53,84
OTU67,42,43,69,127,66,68,33,29,57,1,3,2,33,48,42,33,26,67,90,70,105,38,41,53,33,40,49,68,54,64,1,1,2,48,36,39,0,2,0,25,20,26,63,74,53
