,S1vsS2,S1vsS3,S1vsS4,S2vsS3,S2vsS4,S3vsS4
itf00g23830,1,0,1,1,0,1
itf00g23850,0,1,1,0,1,1
itf00g23960,1,1,0,0,1,1
itf00g23990,0,0,0,1,0,0
itf00g24250,1,1,1,1,1,0
itf00g24260,0,1,1,1,1,0
itf00g24400,1,0,0,1,1,0
itf00g24410,0,0,0,0,1,0
itf00g24490,0,0,0,0,0,0
itf00g24520,0,0,0,0,0,0
itf00g24530,1,1,1,0,0,0
itf00g24790,0,1,1,1,1,1
itf00g24800,1,1,1,0,0,1
itf00g24830,0,0,0,1,0,0
itf00g24840,0,1,1,1,0,1
itf00g25060,1,0,0,1,1,0
itf00g25080,1,0,1,1,1,0
itf00g25090,1,1,0,0,1,1
itf00g25100,0,1,1,0,1,0
itf00g25110,1,1,1,1,1,0
itf00g25120,1,1,1,1,1,0
itf00g25220,0,1,1,0,1,1
itf00g25240,0,0,0,0,0,0
itf00g25320,1,0,0,1,1,0
itf00g25340,0,1,0,0,0,1
itf00g25350,1,1,1,1,0,0
itf00g25380,0,0,0,1,0,0
itf00g25530,0,1,1,1,1,1
itf00g25540,1,0,0,1,1,0
itf00g25550,0,1,0,0,0,1
itf00g25570,1,1,1,0,0,0
itf00g25580,1,0,0,1,1,0
itf00g25590,1,0,1,1,1,1
itf00g25600,1,0,0,1,1,1
itf00g25610,0,0,0,1,0,0
itf00g25640,0,0,0,0,0,0
itf00g25650,0,0,0,0,0,0
itf00g25660,1,0,1,1,1,1
itf00g25680,1,1,1,0,0,1
itf00g25710,1,0,1,1,0,1
itf00g25720,1,0,0,1,1,1
itf00g25780,1,0,0,1,1,0
itf00g25800,1,0,0,1,1,0
itf00g25910,0,1,1,1,1,0
itf00g25920,1,1,1,1,1,0
itf00g25950,0,1,1,0,1,0
itf00g25960,0,1,1,1,0,1
itf00g25970,0,1,1,0,0,0
itf00g26060,0,0,0,0,0,0
itf00g26080,0,1,0,0,0,1
itf00g26120,1,0,0,1,1,0
itf00g26260,0,1,0,0,0,1
itf00g26330,0,1,0,0,0,1
itf00g26350,1,1,1,1,1,0
itf00g26390,0,1,1,1,1,0
itf00g26400,0,0,0,1,0,0
itf00g26470,0,0,0,1,0,0
itf00g26480,1,0,1,1,1,0
itf00g26530,0,1,0,1,0,1
itf00g26540,1,1,1,1,1,0
itf00g26550,1,0,1,1,1,1
itf00g26580,0,0,1,0,1,1
itf00g26590,0,0,0,0,0,0
itf00g26680,0,0,1,0,1,1
itf00g26710,0,0,0,1,0,0
itf00g26720,0,0,1,0,1,1
itf00g26740,1,1,1,0,1,0
itf00g26760,0,0,0,0,1,0
itf00g26770,1,0,0,1,0,0
itf00g26810,0,1,1,1,1,0
itf00g26980,1,0,0,1,0,0
itf00g27040,1,1,0,0,1,0
itf00g27050,1,1,1,0,0,0
itf00g27080,1,0,1,1,1,1
itf00g27130,1,0,0,1,1,0
itf00g27170,1,0,1,1,0,1
itf00g27180,1,1,1,1,0,1
itf00g27190,1,1,0,1,1,0
itf00g27200,0,1,1,1,1,0
itf00g27250,0,0,1,1,0,1
itf00g27270,0,0,0,1,0,0
itf00g27340,0,1,0,1,0,1
itf00g27380,1,0,1,0,0,1
itf00g27440,0,0,0,0,0,0
itf00g27500,0,1,1,0,1,0
itf00g27520,1,0,0,1,1,0
itf00g27570,0,0,0,1,0,0
itf00g27760,1,1,1,1,1,0
itf00g27880,1,1,0,1,1,1
itf00g27930,1,1,1,0,0,0
itf00g27970,1,0,0,1,1,0
itf00g28050,1,1,1,0,0,1
itf00g28100,1,1,1,0,0,1
itf00g28160,1,1,0,0,1,1
itf00g28200,1,0,1,1,0,1
itf00g28220,0,1,0,0,0,1
itf00g28270,1,1,1,0,0,1
itf00g28290,0,0,1,0,0,1
itf00g28300,0,0,1,0,1,1
itf00g28320,1,1,0,0,1,1
itf00g28420,0,1,0,1,0,1
itf00g28510,0,1,0,1,1,0
itf00g28520,0,0,0,0,0,0
itf00g28530,1,0,0,0,0,0
itf00g28560,0,1,0,0,0,1
itf00g28750,0,0,0,0,0,0
itf00g28760,1,0,0,1,1,0
itf00g28850,1,0,0,1,1,1
itf00g28870,0,0,0,0,0,0
itf00g28890,0,0,0,1,0,0
itf00g28900,1,0,0,0,1,0
itf00g28920,1,0,0,1,1,0
itf00g28930,1,0,0,1,1,0
itf00g28980,1,0,0,1,1,0
itf00g29010,1,0,1,1,0,1
itf00g29120,1,0,0,1,1,0
itf00g29130,1,0,0,1,1,1
itf00g29190,1,0,0,0,0,0
itf00g29210,1,0,0,1,1,0
itf00g29250,1,1,1,0,1,1
itf00g29290,0,0,0,1,0,0
itf00g29370,1,1,1,0,0,1
itf00g29400,1,1,0,0,1,0
itf00g29410,0,1,1,1,1,1
itf00g29440,1,1,1,0,0,0
itf00g29460,1,0,1,0,0,0
itf00g29510,0,0,0,1,0,0
itf00g29560,0,1,0,0,0,1
itf00g29700,0,1,1,0,0,0
itf00g29720,0,0,0,0,0,0
itf00g29730,1,0,0,1,1,0
itf00g29740,1,0,1,1,0,1
itf00g29760,1,1,1,0,0,0
itf00g29770,1,1,1,1,0,0
itf00g29790,0,0,0,0,0,0
itf00g29820,1,1,1,1,1,0
itf00g29850,1,1,0,1,1,0
itf00g29860,1,1,0,1,1,0
itf00g29870,1,0,0,1,1,0
itf00g29880,1,1,0,1,1,1
itf00g29920,0,0,1,0,0,1
itf00g29970,0,0,0,1,0,0
itf00g30070,1,1,1,1,1,0
itf00g30080,0,1,1,0,0,0
itf00g30160,0,0,0,1,0,0
itf00g30170,1,1,0,0,1,1
itf00g30250,0,0,0,0,0,0
itf00g30270,0,1,1,0,0,0
itf00g30290,0,1,1,0,1,1
itf00g30300,0,1,0,0,0,1
itf00g30310,1,0,0,1,1,0
itf00g30350,1,1,0,0,0,0
itf00g30440,1,0,1,1,1,1
itf00g30470,0,0,0,1,0,0
itf00g30480,1,1,1,1,1,0
itf00g30490,1,1,1,0,0,0
itf00g30500,1,0,0,0,1,1
itf00g30510,1,1,0,0,1,1
itf00g30560,1,0,0,1,1,0
itf00g30570,0,1,1,1,1,0
itf00g30670,1,1,1,0,0,0
itf00g30680,1,1,0,1,1,1
itf00g30690,0,1,0,1,0,1
itf00g30780,1,1,1,1,0,0
itf00g30790,0,1,0,1,0,1
itf00g30920,1,1,1,1,1,0
itf00g30940,0,0,0,0,0,0
itf00g30960,1,0,0,1,1,0
itf00g31020,1,0,0,0,0,0
itf00g31050,0,0,1,0,1,1
itf00g31100,1,1,0,1,1,1
itf00g31190,1,0,1,1,0,1
itf00g31230,1,1,1,0,0,0
itf00g31250,1,1,0,1,1,1
itf00g31270,0,1,1,0,0,0
itf00g31320,0,0,0,0,0,0
itf00g31330,0,1,0,1,0,1
itf00g31340,1,0,0,1,1,0
itf00g31360,1,0,1,1,1,1
itf00g31410,1,1,1,1,0,1
itf00g31440,0,0,0,0,0,0
itf00g31490,1,0,0,1,1,1
itf00g31590,0,1,0,0,0,1
itf00g31720,0,0,0,0,0,0
itf00g31730,1,0,0,1,1,0
itf00g31840,1,0,1,1,1,1
itf00g31860,0,1,1,0,0,0
itf00g31890,1,0,0,1,1,0
itf00g31980,0,1,0,1,0,1
itf00g32000,0,1,1,1,1,0
itf00g32040,0,0,1,0,1,1
itf00g32070,1,0,0,1,1,0
itf00g32090,1,0,1,1,0,1
itf00g32100,0,1,1,1,1,0
itf00g32110,1,1,1,1,0,1
itf00g32210,0,0,1,0,1,1
itf00g32290,1,0,0,1,1,0
itf00g32370,1,0,1,1,0,1
