,S1vsS2,S1vsS3,S1vsS4,S2vsS3,S2vsS4,S3vsS4
itf06g26340,1,1,0,0,1,1
itf06g26370,1,0,0,1,1,0
itf06g26380,0,0,1,0,1,1
itf06g26390,0,0,1,1,0,1
itf06g26460,1,0,0,1,0,0
itf06g26470,0,1,1,0,1,1
itf06g26480,1,1,0,0,1,1
itf06g26490,0,0,0,0,0,0
itf06g26500,1,1,1,0,0,0
itf06g26510,1,1,1,1,1,1
itf06g26520,0,0,0,0,0,0
itf06g26530,0,0,1,0,1,1
itf06g26550,0,0,0,0,0,0
itf06g26560,0,0,0,0,0,0
itf06g26570,1,1,1,1,0,1
itf06g26580,0,0,0,0,0,0
itf06g26590,0,1,1,1,0,1
itf06g26600,0,1,0,0,0,1
itf06g26620,1,1,1,1,0,1
itf06g26630,1,0,0,1,1,0
itf06g26640,0,1,0,1,0,1
itf06g26650,0,0,0,0,0,0
itf06g26660,0,0,0,0,0,0
itf06g26670,1,0,0,1,1,0
itf06g26680,1,0,0,1,1,0
itf06g26690,1,1,0,0,0,0
itf06g26700,0,0,0,0,1,0
itf06g26710,0,0,0,0,0,0
itf06g26720,0,1,0,0,0,1
itf06g26730,1,0,0,0,0,0
itf06g26740,0,0,0,0,1,0
itf06g26750,1,0,0,1,1,0
itf06g26760,0,0,0,0,0,0
itf06g26770,0,1,0,0,0,0
itf06g26780,0,1,0,0,1,1
itf06g26790,0,1,0,0,0,1
itf06g26800,0,0,0,1,0,1
itf06g26810,1,1,1,0,0,0
itf06g26820,0,0,0,0,0,0
itf06g26830,0,1,0,0,0,1
itf06g26840,0,1,0,0,0,1
itf06g26850,0,1,0,0,0,1
itf06g26860,1,1,0,0,0,0
itf06g26870,1,0,0,1,1,0
itf06g26880,1,0,0,1,1,0
itf06g26890,1,0,0,1,1,0
itf06g26900,1,0,0,1,1,0
itf06g26910,0,1,1,0,1,1
itf06g26920,0,0,1,0,0,1
itf06g26930,1,0,0,0,0,0
itf06g26940,1,0,0,0,1,0
itf06g26950,0,1,1,0,1,1
itf06g26960,0,1,0,0,0,0
itf06g26970,0,0,1,0,1,0
itf06g26980,0,1,0,1,0,1
itf06g26990,0,1,0,0,0,1
itf06g27000,1,0,0,0,0,0
itf06g27040,0,0,0,0,0,0
itf06g27080,0,1,0,0,0,1
itf06g27090,0,0,0,0,0,0
itf06g27100,0,1,1,0,0,0
itf06g27130,0,1,0,0,0,0
itf06g27140,1,0,1,1,1,1
itf06g27150,0,0,0,0,0,0
itf06g27160,1,0,1,0,1,1
itf06g27170,0,0,1,0,1,1
itf07g00010,1,1,1,1,0,1
itf07g00030,1,0,1,1,1,0
itf07g00040,1,1,1,1,1,0
itf07g00050,1,1,0,1,1,1
itf07g00060,1,0,1,1,1,0
itf07g00070,0,1,0,0,0,0
itf07g00080,0,0,0,0,0,0
itf07g00090,1,0,0,1,1,0
itf07g00100,0,0,0,0,0,1
itf07g00110,1,0,0,1,1,1
itf07g00120,1,0,0,1,1,0
itf07g00130,1,0,0,1,1,0
itf07g00140,1,0,0,1,1,0
itf07g00150,1,0,0,0,1,0
itf07g00160,0,0,0,0,1,0
itf07g00170,0,0,1,1,1,1
itf07g00180,1,1,1,1,1,1
itf07g00200,0,1,0,0,0,1
itf07g00210,0,1,0,1,0,1
itf07g00220,1,1,1,1,1,0
itf07g00260,0,0,0,0,1,0
itf07g00270,0,1,0,0,0,1
itf07g00290,1,0,0,1,1,0
itf07g00300,0,0,0,0,0,0
itf07g00310,0,1,1,1,0,1
itf07g00320,1,0,0,0,0,0
itf07g00330,1,0,1,1,1,1
itf07g00340,0,0,1,1,1,1
itf07g00360,0,0,0,0,0,0
itf07g00370,1,0,1,0,0,0
itf07g00390,0,1,1,1,1,1
itf07g00400,1,0,0,0,1,0
itf07g00410,1,0,0,0,1,1
itf07g00420,1,1,0,1,1,1
itf07g00430,1,0,1,1,0,1
itf07g00440,0,0,0,0,0,0
itf07g00460,0,1,1,0,0,0
itf07g00470,0,0,1,0,1,1
itf07g00480,1,0,0,1,1,0
itf07g00490,0,0,0,0,0,0
itf07g00500,0,1,1,1,1,1
itf07g00520,0,0,0,1,0,0
itf07g00540,0,0,0,1,0,0
itf07g00550,0,0,0,1,1,0
itf07g00560,1,0,0,1,1,0
itf07g00580,1,1,1,0,1,1
itf07g00590,1,0,1,1,1,0
itf07g00600,0,0,0,1,0,0
itf07g00610,0,0,0,1,1,0
itf07g00640,1,0,0,0,1,1
itf07g00650,1,0,0,1,1,1
itf07g00660,0,0,0,0,0,0
itf07g00670,1,0,0,1,1,0
itf07g00680,0,0,0,0,0,0
itf07g00690,1,0,1,1,1,0
itf07g00700,1,0,0,1,1,0
itf07g00720,1,0,0,1,1,0
itf07g00730,1,1,0,1,1,0
itf07g00750,1,0,0,1,1,0
itf07g00760,1,1,0,1,1,0
itf07g00770,1,0,1,1,1,1
itf07g00780,0,0,0,1,0,0
itf07g00790,0,0,0,0,0,0
itf07g00800,0,0,0,0,0,0
itf07g00810,1,1,0,1,1,1
itf07g00820,1,1,0,0,1,1
itf07g00830,0,0,0,0,0,0
itf07g00840,0,0,1,1,0,1
itf07g00850,1,0,0,1,1,0
itf07g00860,0,0,0,0,0,0
itf07g00870,0,0,0,0,0,0
itf07g00880,0,1,1,1,1,1
itf07g00890,1,1,1,1,1,0
itf07g00900,1,1,1,1,0,0
itf07g00910,0,0,1,0,0,1
itf07g00940,0,0,1,0,1,1
itf07g00950,1,0,0,1,1,0
itf07g00960,1,1,0,1,1,1
itf07g00970,0,0,0,0,0,0
itf07g00980,0,0,1,1,1,0
itf07g00990,1,1,1,1,0,1
itf07g01000,0,0,0,0,1,0
itf07g01010,0,0,1,0,1,1
itf07g01020,1,0,0,1,1,0
itf07g01060,0,0,1,0,1,1
itf07g01070,1,0,0,1,1,0
itf07g01080,1,1,0,1,1,1
itf07g01090,1,0,0,0,0,0
itf07g01100,1,0,1,1,0,0
itf07g01110,1,0,1,1,0,1
itf07g01120,0,0,0,0,0,0
itf07g01130,1,0,0,1,1,1
itf07g01140,1,0,1,1,1,1
itf07g01150,1,1,0,1,1,0
itf07g01170,0,0,0,0,0,0
itf07g01180,1,0,0,1,1,0
itf07g01190,0,0,0,0,0,0
itf07g01200,0,0,0,0,0,0
itf07g01210,0,0,0,0,0,0
itf07g01220,0,1,1,1,1,1
itf07g01230,1,1,1,1,0,1
itf07g01250,1,1,1,1,1,1
itf07g01260,1,1,1,0,0,0
itf07g01270,0,1,1,1,0,1
itf07g01280,1,0,0,1,1,0
itf07g01290,1,0,1,1,1,0
itf07g01300,1,0,0,1,1,0
itf07g01310,1,0,0,1,0,0
itf07g01320,0,0,0,0,0,0
itf07g01330,0,0,0,0,0,0
itf07g01380,0,0,0,0,1,0
itf07g01390,1,0,0,0,1,0
itf07g01400,1,0,1,1,0,1
itf07g01410,0,1,1,1,1,0
itf07g01420,0,1,1,0,0,0
itf07g01430,1,1,1,1,1,0
itf07g01450,0,1,0,0,0,1
itf07g01470,1,0,0,1,1,0
itf07g01490,0,1,1,1,0,1
itf07g01500,1,1,1,0,1,1
itf07g01510,1,1,1,0,1,1
itf07g01520,1,0,0,1,1,0
itf07g01530,0,0,0,0,0,0
itf07g01540,0,0,0,0,0,0
itf07g01550,1,0,0,0,0,0
itf07g01570,0,0,0,0,0,0
itf07g01580,1,1,0,1,1,0
itf07g01590,1,0,0,1,1,0
itf07g01600,1,1,1,1,1,0
itf07g01610,0,0,0,0,1,0
itf07g01620,0,0,1,0,1,1
itf07g01630,1,0,0,1,1,0
itf07g01640,1,1,0,1,1,1
itf07g01650,1,0,0,0,1,0
itf07g01660,1,0,1,1,1,1
itf07g01670,0,0,0,0,0,0
itf07g01690,1,0,0,1,1,0
itf07g01700,0,0,0,0,0,0
itf07g01710,0,1,0,0,0,1
itf07g01720,0,0,0,1,0,0
itf07g01730,1,0,1,1,1,0
itf07g01740,0,0,0,1,0,0
itf07g01750,0,0,0,0,0,0
itf07g01760,0,1,0,1,0,1
itf07g01770,1,1,0,1,1,1
itf07g01780,1,1,1,0,0,0
itf07g01800,0,0,0,0,0,0
itf07g01810,0,0,0,0,0,0
itf07g01820,1,1,1,0,0,1
itf07g01840,1,1,0,0,0,0
itf07g01850,1,0,0,0,0,0
itf07g01860,0,1,1,0,1,1
itf07g01870,0,0,0,1,0,0
itf07g01880,0,1,0,0,0,1
itf07g01890,0,0,0,0,0,0
itf07g01900,0,0,0,0,0,0
itf07g01910,1,0,0,1,1,0
itf07g01920,0,1,1,1,1,0
itf07g01930,1,0,0,1,1,0
itf07g01940,1,0,1,1,0,1
itf07g01970,0,1,1,1,1,0
itf07g01980,1,0,0,1,1,0
itf07g01990,1,1,1,1,1,1
itf07g02000,0,1,0,1,0,1
itf07g02010,0,0,0,0,0,0
itf07g02020,0,0,0,0,0,0
itf07g02030,1,0,0,1,1,0
itf07g02040,0,0,0,0,0,0
itf07g02050,1,0,1,1,1,1
itf07g02060,0,0,0,0,0,0
itf07g02070,0,0,0,0,0,0
itf07g02080,0,0,1,1,1,1
itf07g02090,0,0,0,0,0,0
itf07g02100,1,1,0,1,1,1
itf07g02110,0,0,0,0,0,0
itf07g02130,0,0,0,1,0,0
itf07g02170,0,0,0,1,0,0
itf07g02180,0,1,0,0,0,1
itf07g02190,0,1,0,1,0,1
itf07g02200,0,0,0,0,0,0
itf07g02210,1,1,1,0,0,0
itf07g02220,0,0,0,0,0,0
itf07g02230,0,0,0,0,0,0
itf07g02240,1,1,1,1,1,0
itf07g02250,0,0,0,0,0,0
itf07g02260,1,0,0,1,1,0
itf07g02270,0,1,1,0,1,1
itf07g02280,0,1,0,0,0,1
itf07g02290,0,0,0,0,0,0
itf07g02300,0,0,0,0,1,0
itf07g02310,1,1,1,0,0,1
itf07g02320,0,0,1,0,1,1
itf07g02330,0,1,1,1,0,0
itf07g02340,1,0,1,1,0,0
itf07g02350,1,0,1,1,0,0
itf07g02360,1,0,0,1,1,0
itf07g02370,0,0,0,1,0,1
itf07g02380,1,0,1,1,1,0
itf07g02400,1,0,0,1,1,1
itf07g02410,1,0,1,1,1,1
itf07g02420,0,1,0,0,0,1
itf07g02430,1,0,1,1,0,1
itf07g02440,0,0,0,0,0,0
itf07g02450,0,0,0,0,0,0
itf07g02460,1,0,0,1,1,0
itf07g02470,1,0,0,0,0,0
itf07g02480,0,0,0,0,0,0
itf07g02490,0,0,0,1,0,0
itf07g02500,1,0,0,1,0,0
itf07g02510,1,0,0,0,0,0
itf07g02520,1,0,1,1,0,1
itf07g02530,0,0,1,0,0,0
itf07g02540,1,0,0,1,1,0
itf07g02550,1,0,1,1,1,1
itf07g02560,1,1,1,0,0,1
itf07g02570,0,0,0,0,0,0
itf07g02590,0,1,1,1,1,0
itf07g02600,0,1,1,1,1,1
itf07g02610,1,1,0,1,1,1
itf07g02620,1,0,0,1,1,0
itf07g02690,1,0,0,0,0,0
itf07g02700,1,0,1,1,1,0
itf07g02710,1,0,1,1,1,0
itf07g02720,0,1,0,0,0,1
itf07g02730,0,0,1,1,1,1
itf07g02740,0,0,0,0,0,0
itf07g02770,0,1,0,1,0,1
itf07g02780,1,0,1,1,0,1
itf07g02790,0,1,1,0,1,1
itf07g02800,1,1,0,1,1,1
itf07g02810,1,0,0,1,1,0
itf07g02820,0,1,1,0,0,0
itf07g02830,1,0,0,0,0,0
itf07g02840,0,0,1,0,1,0
itf07g02850,0,0,0,0,0,0
itf07g02860,0,0,0,0,0,0
itf07g02870,0,1,0,1,0,1
itf07g02880,0,0,0,0,0,0
itf07g02890,1,0,0,1,1,0
itf07g02900,0,0,1,0,0,1
itf07g02910,0,0,0,0,1,0
itf07g02920,1,1,0,0,1,1
itf07g02930,1,0,0,1,1,0
itf07g02940,1,0,1,1,1,0
itf07g02950,1,0,0,1,1,0
itf07g02960,0,1,1,1,1,0
itf07g02970,1,0,1,1,1,0
itf07g02980,1,0,0,0,1,0
itf07g02990,1,0,1,0,1,1
itf07g03000,0,0,0,0,0,0
itf07g03010,1,0,0,1,1,0
itf07g03020,1,0,0,1,1,0
itf07g03030,1,0,1,1,1,1
itf07g03060,1,0,0,1,1,0
itf07g03070,1,0,0,1,1,0
itf07g03080,0,0,0,0,0,0
itf07g03090,1,0,1,0,1,1
itf07g03100,1,0,1,1,0,0
itf07g03110,1,0,0,1,1,0
itf07g03120,1,0,0,1,1,0
itf07g03130,0,0,0,1,0,0
itf07g03140,1,0,0,1,0,0
itf07g03160,0,0,0,0,0,0
itf07g03170,1,0,1,1,1,0
itf07g03180,0,0,0,1,1,0
itf07g03190,0,1,0,1,0,0
itf07g03200,1,0,1,1,1,1
itf07g03210,1,0,0,1,1,0
itf07g03220,0,0,0,0,0,0
itf07g03230,0,0,0,0,0,0
itf07g03240,0,0,0,0,0,0
itf07g03250,1,1,1,0,0,0
itf07g03270,0,1,1,1,1,0
itf07g03280,0,1,1,1,1,0
itf07g03290,1,1,0,1,1,0
itf07g03300,1,0,0,1,1,0
itf07g03320,0,0,0,0,0,0
itf07g03330,1,0,0,0,0,0
itf07g03340,1,0,1,1,1,1
itf07g03350,0,0,0,1,1,0
itf07g03360,1,1,1,1,1,0
itf07g03370,0,0,0,1,1,0
itf07g03380,0,1,1,0,1,0
itf07g03390,0,0,0,1,0,0
itf07g03400,1,0,0,1,1,0
itf07g03410,1,1,1,0,1,1
itf07g03420,1,1,1,0,1,0
itf07g03430,0,0,0,1,0,0
itf07g03440,0,1,1,0,1,0
itf07g03460,1,0,0,1,1,0
itf07g03470,0,1,1,0,1,0
itf07g03480,0,1,0,1,0,1
itf07g03490,1,0,0,1,1,0
itf07g03500,1,0,0,0,0,0
itf07g03510,0,1,0,0,0,1
itf07g03520,1,0,1,1,0,1
itf07g03530,1,0,0,1,1,0
itf07g03540,0,1,0,0,0,1
itf07g03550,0,0,1,0,0,0
itf07g03580,1,1,1,1,1,0
itf07g03590,1,0,0,0,0,0
itf07g03600,1,1,1,1,1,0
itf07g03610,1,0,0,1,1,0
itf07g03620,0,1,1,1,0,0
itf07g03630,1,1,1,1,1,0
itf07g03640,1,0,0,1,1,0
itf07g03650,0,1,0,1,0,1
itf07g03660,0,1,0,0,0,1
itf07g03670,1,0,0,0,0,0
itf07g03680,0,1,0,0,1,1
itf07g03690,0,1,0,0,1,1
itf07g03710,1,1,1,0,0,0
itf07g03720,1,0,0,1,0,0
itf07g03730,1,1,1,1,1,0
itf07g03750,0,0,0,0,0,0
itf07g03760,0,0,0,0,0,0
itf07g03770,1,1,0,0,1,1
itf07g03780,1,1,1,0,0,0
itf07g03790,0,0,1,1,1,0
itf07g03800,1,0,0,0,1,0
itf07g03810,1,0,0,1,1,0
itf07g03820,1,1,1,0,1,1
itf07g03830,0,0,1,0,0,1
itf07g03840,0,0,0,0,0,0
itf07g03850,1,0,0,1,1,0
itf07g03860,0,0,0,0,0,1
itf07g03870,1,1,1,1,1,0
itf07g03880,1,0,0,0,0,0
itf07g03890,1,0,1,0,0,1
itf07g03900,0,0,0,1,0,1
itf07g03910,0,0,0,0,0,0
itf07g03920,0,0,0,0,0,0
itf07g03930,0,0,0,0,0,0
itf07g03950,1,1,0,1,1,0
itf07g03960,1,1,0,1,1,1
itf07g03970,1,1,0,0,1,1
itf07g03980,1,0,0,1,1,0
itf07g03990,0,0,0,0,0,0
itf07g04000,0,0,0,0,1,1
itf07g04020,0,0,1,0,1,1
itf07g04030,0,0,1,0,1,1
itf07g04050,1,0,0,1,1,0
itf07g04100,1,0,0,1,1,0
itf07g04110,1,1,1,0,1,1
itf07g04120,0,0,0,0,1,0
itf07g04130,1,1,1,1,1,0
itf07g04140,0,0,0,0,0,0
itf07g04160,0,0,0,0,0,0
itf07g04170,1,0,0,1,1,0
itf07g04180,0,1,1,1,0,1
itf07g04190,0,0,0,1,0,0
itf07g04200,0,1,1,0,1,1
itf07g04210,0,1,1,0,1,1
itf07g04220,0,1,1,0,1,1
itf07g04230,0,1,1,1,1,1
itf07g04240,1,0,0,1,1,0
itf07g04250,1,0,0,1,1,0
itf07g04260,0,0,0,1,0,0
itf07g04270,1,1,1,0,0,0
itf07g04290,1,0,0,1,1,1
itf07g04300,1,0,1,1,1,1
itf07g04310,1,1,1,1,1,1
itf07g04320,1,0,0,1,1,0
itf07g04330,1,0,1,0,0,1
itf07g04340,0,0,0,0,0,0
itf07g04350,1,0,1,1,1,1
itf07g04360,1,0,1,1,1,1
itf07g04380,0,0,0,1,0,0
itf07g04390,0,0,1,0,1,1
itf07g04410,0,1,1,0,0,0
itf07g04420,1,1,1,0,0,0
itf07g04440,0,0,1,0,0,1
itf07g04450,1,1,1,0,0,0
itf07g04510,0,0,0,0,0,0
itf07g04520,0,1,0,0,0,1
itf07g04530,0,0,0,1,0,0
itf07g04540,1,1,0,0,0,0
itf07g04550,0,0,0,0,0,0
itf07g04610,0,1,1,0,1,1
itf07g04630,1,0,1,0,0,0
itf07g04660,1,1,1,1,0,1
itf07g04670,1,1,0,1,1,1
itf07g04680,0,0,1,0,1,1
itf07g04690,1,0,1,1,1,1
itf07g04710,1,0,1,1,1,1
itf07g04720,0,0,0,0,0,0
itf07g04730,1,0,0,1,1,0
itf07g04740,0,0,0,0,0,0
itf07g04750,0,0,0,0,0,0
itf07g04760,0,1,1,0,1,1
itf07g04770,0,0,0,1,0,0
itf07g04800,1,0,0,1,1,0
itf07g04860,1,1,1,1,1,0
itf07g04870,1,1,1,1,1,0
itf07g04880,1,1,1,0,0,0
itf07g04890,1,1,1,1,0,1
itf07g04900,1,1,1,0,0,1
itf07g04910,1,0,1,1,1,0
itf07g04920,0,0,0,0,0,0
itf07g04930,0,0,0,0,0,0
itf07g04940,0,0,0,0,0,0
itf07g04950,0,0,0,1,0,0
itf07g04970,1,1,0,1,1,1
itf07g04980,1,0,0,1,1,0
itf07g04990,1,0,1,1,1,0
itf07g05000,0,0,0,0,0,0
itf07g05090,1,0,0,1,1,0
itf07g05110,0,0,1,0,1,0
itf07g05120,0,0,1,0,1,1
itf07g05130,1,0,0,1,0,0
itf07g05140,0,0,0,0,0,0
itf07g05150,0,0,0,1,1,0
itf07g05160,0,0,0,0,0,0
itf07g05170,1,1,0,1,1,0
itf07g05180,0,1,0,0,0,1
itf07g05190,0,1,1,0,1,1
itf07g05200,0,0,0,1,0,0
itf07g05210,0,0,0,0,0,0
itf07g05220,1,0,0,1,1,0
itf07g05230,0,0,0,0,1,0
itf07g05250,0,0,0,0,0,0
itf07g05260,0,0,0,1,0,0
itf07g05270,1,0,0,1,1,0
itf07g05280,1,0,0,1,1,0
itf07g05290,1,0,0,0,0,0
itf07g05300,1,0,0,1,1,0
itf07g05310,1,0,1,1,1,0
itf07g05320,1,1,0,0,1,0
itf07g05330,1,0,0,0,0,0
itf07g05340,1,0,0,1,1,1
itf07g05350,0,0,0,0,0,0
itf07g05380,0,0,0,0,0,0
itf07g05390,1,1,1,1,1,0
itf07g05410,0,1,1,1,1,1
itf07g05420,1,1,0,1,1,1
itf07g05430,1,1,0,1,1,1
itf07g05440,1,1,0,1,1,0
itf07g05450,1,1,0,1,1,1
itf07g05460,1,1,0,1,1,1
itf07g05470,1,0,1,1,0,1
itf07g05480,0,1,0,0,0,1
itf07g05490,0,1,1,0,0,0
itf07g05500,0,1,1,0,1,0
itf07g05510,1,0,1,1,1,1
itf07g05520,0,0,0,0,0,1
itf07g05530,0,0,1,0,0,0
itf07g05550,0,0,0,0,0,0
itf07g05560,1,0,0,1,1,0
itf07g05570,0,1,1,0,0,0
itf07g05580,0,1,1,0,1,1
itf07g05600,1,0,1,1,1,1
itf07g05610,1,0,0,1,1,0
itf07g05620,0,0,0,0,0,0
itf07g05630,0,1,0,1,0,1
itf07g05640,0,1,0,1,0,1
itf07g05650,0,0,0,0,0,0
itf07g05680,0,0,0,0,0,0
itf07g05690,0,0,0,0,0,0
itf07g05700,1,0,0,1,1,0
itf07g05710,0,0,1,0,1,1
itf07g05720,0,0,0,1,0,0
itf07g05730,1,1,1,0,1,1
itf07g05740,0,0,0,1,0,0
itf07g05750,1,1,1,1,0,1
itf07g05760,0,0,0,0,0,0
itf07g05770,0,1,0,0,0,1
itf07g05780,1,0,0,1,1,1
itf07g05790,1,0,0,1,1,0
itf07g05800,0,1,1,1,1,0
itf07g05810,0,0,0,0,0,0
itf07g05820,1,0,0,1,1,0
itf07g05830,1,0,0,1,1,0
itf07g05840,1,1,1,0,1,1
itf07g05850,1,0,0,1,0,0
itf07g05860,0,1,0,0,0,1
itf07g05870,0,0,0,1,1,0
itf07g05880,1,0,0,1,1,0
itf07g05890,0,0,0,0,1,1
itf07g05910,0,1,1,0,1,1
itf07g05920,0,0,0,1,0,1
itf07g05930,0,0,0,0,0,0
itf07g05950,0,0,0,0,0,0
itf07g05970,0,0,0,0,0,0
itf07g05990,1,0,0,1,1,0
itf07g06000,1,0,0,1,1,0
itf07g06010,1,0,0,1,1,0
itf07g06020,1,0,1,1,1,0
itf07g06030,1,1,1,0,0,0
itf07g06040,0,1,0,0,1,1
itf07g06050,0,1,1,0,1,0
itf07g06060,0,0,0,0,0,0
itf07g06070,1,0,1,1,1,1
itf07g06080,0,1,0,1,1,1
itf07g06090,1,0,0,1,1,0
itf07g06120,0,1,0,1,0,1
itf07g06130,0,1,0,0,0,1
itf07g06140,0,0,0,1,0,0
itf07g06160,0,0,0,0,0,0
itf07g06170,1,0,0,1,1,0
itf07g06180,0,0,0,0,0,0
itf07g06190,1,0,1,1,0,1
itf07g06200,1,1,1,0,0,1
itf07g06230,1,1,0,1,1,1
itf07g06250,0,0,0,1,0,0
itf07g06260,0,0,0,0,0,0
itf07g06270,0,1,0,0,0,1
itf07g06290,1,1,1,0,1,1
itf07g06300,1,1,1,0,1,1
itf07g06310,0,0,0,1,0,0
itf07g06320,1,1,1,0,0,0
itf07g06330,1,0,0,1,1,0
itf07g06340,1,0,1,1,1,0
itf07g06350,1,1,0,1,1,0
itf07g06360,1,0,0,0,1,0
itf07g06370,0,0,1,0,1,1
itf07g06380,1,0,0,1,1,0
itf07g06390,0,1,1,1,1,0
itf07g06400,0,1,0,1,0,1
itf07g06420,1,0,0,1,1,0
itf07g06430,1,0,0,0,1,0
itf07g06440,0,0,0,0,1,0
itf07g06450,1,0,1,1,1,1
itf07g06470,1,0,0,1,0,0
itf07g06480,1,1,1,1,1,0
itf07g06490,0,0,0,0,1,0
itf07g06500,0,0,0,0,0,0
itf07g06510,1,1,1,1,1,0
itf07g06520,0,0,0,0,1,1
itf07g06530,0,1,1,1,1,1
itf07g06540,0,1,0,0,0,1
itf07g06550,0,1,1,1,1,0
itf07g06560,1,1,1,1,0,1
itf07g06580,0,0,0,0,0,0
itf07g06590,0,1,1,1,0,1
itf07g06600,0,0,0,1,1,0
itf07g06610,1,1,1,1,0,1
itf07g06620,0,1,1,1,1,1
itf07g06630,0,0,0,0,1,0
itf07g06640,0,1,0,1,1,0
itf07g06650,0,0,0,0,1,1
itf07g06660,0,0,0,0,0,0
itf07g06670,1,0,0,1,1,0
itf07g06690,0,0,0,1,0,0
itf07g06700,0,0,0,0,0,0
itf07g06710,1,0,0,1,1,0
itf07g06720,0,1,0,0,0,1
itf07g06740,0,0,0,0,0,0
itf07g06750,1,1,1,1,1,1
itf07g06760,1,1,1,0,0,0
itf07g06770,1,1,0,0,1,1
itf07g06800,1,1,1,1,1,1
itf07g06810,1,1,1,1,1,1
itf07g06820,0,1,0,1,0,1
itf07g06840,1,1,0,0,1,1
itf07g06860,0,1,0,1,0,1
itf07g06870,1,1,0,0,1,1
itf07g06890,0,1,0,0,0,1
itf07g06900,0,0,0,1,0,0
itf07g06910,0,1,0,1,0,1
itf07g06920,0,1,1,1,1,1
itf07g06930,0,1,0,0,0,1
itf07g06940,0,1,0,0,0,1
itf07g06950,0,0,1,0,1,1
itf07g06980,1,0,1,1,1,1
itf07g06990,0,1,1,0,1,1
itf07g07020,0,0,0,0,0,0
itf07g07030,1,0,0,1,1,0
itf07g07040,1,1,1,0,0,0
itf07g07070,1,1,1,0,1,1
itf07g07090,0,0,0,0,0,0
itf07g07100,1,0,0,1,1,1
itf07g07110,1,1,1,0,1,1
itf07g07120,1,0,0,1,1,0
itf07g07140,1,1,1,0,0,1
itf07g07150,0,1,1,1,1,0
itf07g07160,1,1,0,1,1,1
itf07g07170,0,1,1,1,1,0
itf07g07180,1,1,1,0,0,0
itf07g07200,1,0,0,1,1,0
itf07g07240,0,0,0,1,0,0
itf07g07250,1,0,0,1,1,1
itf07g07260,1,0,1,1,1,0
itf07g07270,0,1,0,1,0,1
itf07g07280,0,1,1,0,1,0
itf07g07290,1,1,1,0,1,1
itf07g07330,1,1,1,1,0,1
itf07g07340,1,1,1,1,1,0
itf07g07350,0,1,0,0,0,1
itf07g07360,0,1,0,0,0,1
itf07g07370,0,0,0,0,0,0
itf07g07380,1,0,1,1,1,1
itf07g07390,0,1,0,0,0,1
itf07g07400,0,0,1,0,0,1
itf07g07420,1,1,1,0,0,0
itf07g07430,1,1,1,1,0,1
itf07g07440,1,1,1,1,1,1
itf07g07450,0,1,1,1,0,1
itf07g07460,0,1,0,1,0,1
itf07g07470,0,1,0,0,0,1
itf07g07480,1,1,1,0,0,1
itf07g07490,1,1,1,1,1,1
itf07g07500,1,1,1,1,0,1
itf07g07510,0,0,0,0,0,0
itf07g07520,0,1,1,1,0,0
itf07g07530,0,0,0,0,0,0
itf07g07550,1,1,1,1,0,0
itf07g07560,1,0,1,1,1,1
itf07g07570,1,1,1,0,1,1
itf07g07590,1,0,0,1,1,0
itf07g07600,1,0,0,0,0,0
itf07g07610,0,0,0,0,0,0
itf07g07620,1,0,0,1,1,0
itf07g07630,1,0,0,1,1,0
itf07g07640,1,0,1,1,1,0
itf07g07660,1,1,0,1,1,1
itf07g07680,1,1,0,1,1,1
itf07g07690,1,1,0,1,1,0
itf07g07700,0,1,1,0,1,0
itf07g07710,1,1,0,0,1,1
itf07g07720,0,0,0,0,0,0
itf07g07740,1,0,0,1,1,0
itf07g07760,1,1,1,1,1,0
itf07g07780,1,1,1,0,0,0
itf07g07790,1,0,1,1,1,1
itf07g07800,0,0,0,0,0,0
itf07g07810,1,0,0,1,1,0
itf07g07820,0,0,0,1,0,0
itf07g07830,1,1,1,0,0,0
itf07g07850,1,1,1,1,0,1
itf07g07870,0,0,0,0,0,1
itf07g07880,1,1,0,0,1,1
itf07g07900,0,0,1,0,1,1
itf07g07910,1,1,0,0,0,1
itf07g07920,1,1,1,1,1,0
itf07g07930,1,1,1,1,1,0
itf07g07940,1,0,1,1,1,1
itf07g07950,0,0,0,0,0,0
itf07g07960,1,0,0,1,1,0
itf07g07970,1,0,0,1,1,0
itf07g07980,0,0,1,0,1,1
itf07g08030,1,1,0,1,1,0
itf07g08040,1,0,0,0,1,0
itf07g08050,1,0,0,1,1,0
itf07g08080,1,0,0,1,1,0
itf07g08090,1,0,0,1,1,0
itf07g08100,0,0,0,0,0,0
itf07g08130,0,0,1,0,0,1
itf07g08140,0,0,0,1,0,0
itf07g08150,1,0,0,1,1,0
itf07g08160,1,0,1,1,0,1
itf07g08170,1,1,0,1,1,1
itf07g08180,0,0,0,1,0,0
itf07g08190,0,1,0,1,0,1
itf07g08200,0,0,0,0,0,0
itf07g08210,0,0,1,1,1,1
itf07g08220,0,0,1,1,0,1
itf07g08230,0,1,1,0,1,1
itf07g08250,1,0,1,1,1,1
itf07g08260,1,1,0,0,0,0
itf07g08280,0,1,1,1,1,0
itf07g08290,0,1,0,1,0,1
itf07g08300,1,0,0,1,0,0
itf07g08310,1,0,0,1,1,0
itf07g08320,1,0,1,1,0,1
itf07g08340,0,1,0,0,0,1
itf07g08360,0,0,0,0,0,0
itf07g08450,1,1,1,1,1,0
itf07g08460,1,0,0,1,1,0
